TRINITY_DN0_c0_g1	AT5G58270.1
TRINITY_DN10107_c0_g2	AT1G11950.3
TRINITY_DN10107_c0_g3	AT3G62270.1
TRINITY_DN10108_c0_g1	AT1G61330.1
TRINITY_DN10110_c0_g2	AT1G28140.1
TRINITY_DN10113_c0_g1	AT1G75170.2
TRINITY_DN10113_c0_g2	AT1G75170.2
TRINITY_DN10115_c0_g2	AT2G36305.1
TRINITY_DN1012_c0_g1	AT5G17330.1
TRINITY_DN1012_c0_g2	AT5G17330.1
TRINITY_DN10122_c0_g1	AT3G47680.1
TRINITY_DN10123_c0_g1	AT1G74520.2
TRINITY_DN10124_c0_g1	AT5G17010.4
TRINITY_DN10124_c1_g1	AT1G68290.1
TRINITY_DN10125_c0_g1	AT5G45130.1
TRINITY_DN10127_c0_g1	AT1G56050.1
TRINITY_DN10128_c0_g2	AT1G58310.1
TRINITY_DN10129_c0_g2	AT1G78520.1
TRINITY_DN1013_c0_g1	AT1G14900.1
TRINITY_DN10130_c0_g1	AT1G23440.3
TRINITY_DN10131_c0_g1	AT3G51950.4
TRINITY_DN10132_c0_g1	AT5G24800.1
TRINITY_DN10134_c0_g1	AT5G66840.2
TRINITY_DN10134_c0_g3	AT2G42070.2
TRINITY_DN10134_c1_g1	AT4G35140.1
TRINITY_DN10136_c0_g1	AT3G18110.1
TRINITY_DN10137_c0_g1	AT1G77405.1
TRINITY_DN10138_c0_g1	AT2G41250.1
TRINITY_DN1014_c0_g1	AT1G72280.1
TRINITY_DN10141_c0_g2	AT4G26300.5
TRINITY_DN10143_c0_g1	AT5G41980.1
TRINITY_DN10144_c0_g1	AT1G69740.3
TRINITY_DN10146_c0_g1	AT5G20700.1
TRINITY_DN10148_c0_g1	AT5G08565.1
TRINITY_DN10149_c0_g1	AT5G52640.1
TRINITY_DN1015_c0_g1	AT4G37050.1
TRINITY_DN10150_c0_g1	AT2G15730.3
TRINITY_DN10151_c0_g1	AT1G77740.2
TRINITY_DN10152_c0_g1	AT3G42170.1
TRINITY_DN10153_c0_g1	AT4G02440.1
TRINITY_DN10154_c0_g1	AT2G02800.2
TRINITY_DN10156_c0_g1	AT1G01320.2
TRINITY_DN10159_c0_g1	AT4G14620.1
TRINITY_DN1016_c0_g1	AT4G31200.3
TRINITY_DN10160_c0_g1	AT1G30130.3
TRINITY_DN10162_c0_g1	AT5G10780.2
TRINITY_DN10163_c0_g1	AT5G24830.1
TRINITY_DN10165_c0_g1	AT4G18750.1
TRINITY_DN10169_c0_g1	AT4G24610.3
TRINITY_DN1017_c0_g1	AT4G30080.1
TRINITY_DN1017_c3_g1	AT3G09270.1
TRINITY_DN10170_c0_g1	AT3G09070.1
TRINITY_DN10171_c0_g1	AT5G06370.1
TRINITY_DN10173_c0_g2	AT5G55860.1
TRINITY_DN10174_c0_g1	AT2G35800.1
TRINITY_DN10176_c0_g1	AT3G23070.1
TRINITY_DN1018_c0_g1	AT2G01820.1
TRINITY_DN10180_c0_g1	AT1G80190.2
TRINITY_DN10182_c0_g1	AT3G52030.2
TRINITY_DN10185_c0_g1	AT3G16560.4
TRINITY_DN10186_c0_g1	AT1G79720.1
TRINITY_DN10187_c0_g1	AT5G18475.1
TRINITY_DN10188_c0_g1	AT2G40030.1
TRINITY_DN10189_c0_g1	AT5G14240.1
TRINITY_DN1019_c0_g1	AT5G15810.1
TRINITY_DN1019_c1_g1	AT1G17870.1
TRINITY_DN1019_c1_g2	AT1G74750.4
TRINITY_DN1019_c2_g1	AT3G61540.1
TRINITY_DN10191_c0_g1	AT2G36960.3
TRINITY_DN10192_c0_g1	AT4G23160.3
TRINITY_DN10192_c1_g1	AT1G19210.1
TRINITY_DN10193_c0_g1	AT3G28860.1
TRINITY_DN10195_c0_g1	AT3G44380.1
TRINITY_DN10195_c1_g2	AT3G44380.1
TRINITY_DN10197_c0_g1	AT2G25800.1
TRINITY_DN102_c0_g1	AT4G09510.1
TRINITY_DN102_c0_g2	AT4G34860.3
TRINITY_DN1020_c0_g1	AT2G30070.1
TRINITY_DN1020_c0_g2	AT5G14880.1
TRINITY_DN1020_c1_g1	AT5G52640.1
TRINITY_DN1020_c4_g1	AT5G56010.1
TRINITY_DN10202_c0_g1	AT4G16120.1
TRINITY_DN10203_c0_g1	AT2G20360.1
TRINITY_DN10206_c0_g2	AT1G55540.2
TRINITY_DN10209_c0_g1	AT1G56500.2
TRINITY_DN1021_c0_g1	AT2G43060.1
TRINITY_DN10210_c0_g1	AT3G11540.1
TRINITY_DN10215_c0_g1	AT1G56310.2
TRINITY_DN10216_c0_g1	AT1G23800.1
TRINITY_DN1022_c0_g1	AT5G16620.1
TRINITY_DN10221_c0_g1	AT1G06790.1
TRINITY_DN10222_c0_g1	AT3G19990.1
TRINITY_DN10223_c0_g1	AT4G15020.2
TRINITY_DN10226_c0_g1	AT1G80500.2
TRINITY_DN10227_c0_g2	AT3G25470.1
TRINITY_DN10228_c0_g1	AT5G58220.1
TRINITY_DN10229_c0_g1	AT3G13080.5
TRINITY_DN1023_c0_g1	AT4G15545.1
TRINITY_DN10230_c0_g1	AT1G10240.2
TRINITY_DN10231_c0_g1	AT1G04620.1
TRINITY_DN10233_c0_g1	AT3G11960.3
TRINITY_DN10234_c0_g1	AT3G62580.1
TRINITY_DN10237_c0_g1	AT5G42090.1
TRINITY_DN10238_c0_g3	AT3G25270.1
TRINITY_DN10239_c0_g2	AT4G22463.1
TRINITY_DN1024_c0_g1	AT5G05987.1
TRINITY_DN10242_c0_g1	AT1G33500.3
TRINITY_DN10243_c0_g1	AT1G65000.1
TRINITY_DN10243_c1_g1	AT1G55020.1
TRINITY_DN10244_c0_g1	AT5G49400.1
TRINITY_DN10245_c0_g1	AT1G13750.1
TRINITY_DN10246_c1_g1	AT3G09550.3
TRINITY_DN10249_c0_g2	AT1G18650.1
TRINITY_DN1025_c0_g1	AT4G04910.1
TRINITY_DN10251_c0_g1	AT4G27890.1
TRINITY_DN10253_c0_g1	AT4G39720.4
TRINITY_DN10254_c0_g1	AT3G27080.1
TRINITY_DN10255_c0_g2	AT5G55230.3
TRINITY_DN10256_c0_g1	AT2G47160.1
TRINITY_DN10259_c0_g1	AT5G03570.2
TRINITY_DN1026_c0_g1	AT5G22760.3
TRINITY_DN10261_c0_g1	AT5G15390.2
TRINITY_DN10263_c0_g1	AT3G04260.1
TRINITY_DN10264_c0_g1	AT3G20970.2
TRINITY_DN10265_c0_g1	AT5G62640.2
TRINITY_DN10265_c1_g1	AT3G23940.1
TRINITY_DN10266_c0_g1	AT3G21640.1
TRINITY_DN10267_c0_g1	AT3G62760.1
TRINITY_DN1027_c0_g1	AT3G49720.3
TRINITY_DN10272_c1_g1	AT3G19830.4
TRINITY_DN10274_c0_g1	AT5G51340.1
TRINITY_DN10276_c0_g1	AT3G05850.1
TRINITY_DN1028_c0_g1	AT1G77120.1
TRINITY_DN10280_c0_g1	AT1G11950.2
TRINITY_DN10280_c2_g1	AT1G11950.2
TRINITY_DN10281_c0_g1	AT3G54140.2
TRINITY_DN10283_c0_g1	AT5G24010.1
TRINITY_DN10285_c0_g1	AT5G10940.1
TRINITY_DN10287_c0_g2	AT2G34070.2
TRINITY_DN10288_c0_g2	AT2G42110.1
TRINITY_DN10298_c0_g1	AT5G17860.1
TRINITY_DN1030_c0_g1	AT2G25940.1
TRINITY_DN10302_c0_g1	AT5G59440.2
TRINITY_DN10302_c0_g2	AT5G27380.1
TRINITY_DN10303_c0_g1	AT5G09880.1
TRINITY_DN10308_c0_g1	AT1G78810.1
TRINITY_DN10308_c1_g1	AT4G27190.1
TRINITY_DN1031_c0_g2	AT1G72020.1
TRINITY_DN10310_c0_g1	AT4G02570.4
TRINITY_DN10313_c0_g1	AT5G14390.1
TRINITY_DN10316_c0_g1	AT3G59630.2
TRINITY_DN10319_c0_g1	AT5G07990.1
TRINITY_DN1032_c0_g1	AT3G63070.1
TRINITY_DN10320_c0_g1	AT4G39730.1
TRINITY_DN10324_c0_g1	AT3G48880.3
TRINITY_DN10327_c0_g1	AT4G17690.1
TRINITY_DN10327_c0_g4	AT3G28200.1
TRINITY_DN10329_c0_g1	AT2G21520.1
TRINITY_DN1033_c0_g1	AT1G43850.2
TRINITY_DN10332_c0_g1	AT2G20830.4
TRINITY_DN10333_c0_g2	AT5G15090.2
TRINITY_DN10336_c0_g1	AT5G28750.1
TRINITY_DN10337_c0_g1	AT4G39530.1
TRINITY_DN10339_c0_g1	AT1G60710.1
TRINITY_DN10341_c0_g1	AT2G41200.1
TRINITY_DN10342_c0_g1	AT4G14605.2
TRINITY_DN10344_c0_g1	AT1G28710.4
TRINITY_DN10345_c0_g1	AT3G60210.1
TRINITY_DN10347_c0_g1	AT2G02520.1
TRINITY_DN10349_c0_g2	AT5G51190.1
TRINITY_DN1035_c0_g1	AT5G49530.1
TRINITY_DN10353_c0_g1	AT5G60460.2
TRINITY_DN10355_c0_g1	AT5G58005.2
TRINITY_DN1036_c0_g1	AT1G20430.1
TRINITY_DN10361_c0_g1	AT3G09630.2
TRINITY_DN10362_c0_g1	AT2G41940.1
TRINITY_DN10362_c2_g1	AT3G10050.1
TRINITY_DN10365_c0_g1	AT5G20610.1
TRINITY_DN1037_c0_g1	AT5G40850.3
TRINITY_DN10371_c0_g1	AT2G38710.4
TRINITY_DN10374_c0_g1	AT1G59750.4
TRINITY_DN10375_c0_g1	AT4G02570.4
TRINITY_DN1038_c0_g1	AT3G50910.1
TRINITY_DN10380_c0_g1	AT4G11290.1
TRINITY_DN10382_c0_g2	AT1G32500.1
TRINITY_DN10383_c0_g1	AT5G12380.1
TRINITY_DN1039_c0_g1	AT1G74160.1
TRINITY_DN10390_c0_g2	AT1G76250.1
TRINITY_DN10391_c0_g1	AT3G27310.1
TRINITY_DN10394_c0_g1	AT5G48850.1
TRINITY_DN10398_c0_g1	AT5G42370.1
TRINITY_DN10399_c0_g1	AT1G03170.1
TRINITY_DN1040_c0_g1	AT1G08620.3
TRINITY_DN1040_c1_g1	AT5G60580.3
TRINITY_DN10401_c0_g1	AT1G60780.1
TRINITY_DN10402_c1_g1	AT5G62230.1
TRINITY_DN10405_c0_g1	AT1G10930.1
TRINITY_DN10406_c0_g1	AT3G24560.1
TRINITY_DN10407_c0_g1	AT4G17550.1
TRINITY_DN10409_c0_g1	AT5G12080.3
TRINITY_DN10409_c0_g2	AT5G12080.3
TRINITY_DN1041_c0_g1	AT3G63400.2
TRINITY_DN10410_c0_g1	AT3G49000.1
TRINITY_DN1042_c0_g1	AT1G69010.1
TRINITY_DN10420_c0_g1	AT4G35790.2
TRINITY_DN10424_c0_g1	AT3G60480.1
TRINITY_DN10426_c0_g1	AT2G32010.4
TRINITY_DN10428_c0_g1	AT3G01580.1
TRINITY_DN10428_c0_g2	AT1G29930.1
TRINITY_DN10429_c0_g1	AT1G53120.1
TRINITY_DN1043_c0_g1	AT1G60390.1
TRINITY_DN1043_c0_g4	AT1G60390.1
TRINITY_DN10432_c0_g1	AT4G18520.1
TRINITY_DN10432_c1_g1	AT2G40720.1
TRINITY_DN10432_c1_g2	AT5G44230.1
TRINITY_DN10434_c0_g1	AT3G28860.1
TRINITY_DN10434_c0_g2	AT5G02500.2
TRINITY_DN10434_c0_g3	AT4G21065.2
TRINITY_DN10435_c0_g1	AT3G52270.2
TRINITY_DN10436_c0_g2	AT2G03890.1
TRINITY_DN10437_c0_g1	AT1G53025.1
TRINITY_DN10437_c0_g3	AT1G53025.1
TRINITY_DN10437_c1_g1	AT1G53025.2
TRINITY_DN10439_c0_g2	AT5G20110.1
TRINITY_DN1044_c0_g1	AT1G51950.1
TRINITY_DN10440_c0_g1	AT4G16160.2
TRINITY_DN10441_c0_g1	AT2G38740.1
TRINITY_DN10446_c0_g1	AT4G17370.2
TRINITY_DN10447_c0_g3	AT3G53620.1
TRINITY_DN10449_c0_g2	AT5G11420.1
TRINITY_DN1045_c0_g1	AT2G22475.1
TRINITY_DN10450_c0_g4	AT2G03630.1
TRINITY_DN10457_c0_g1	AT3G16840.1
TRINITY_DN10458_c0_g1	AT2G47260.1
TRINITY_DN1046_c0_g1	AT2G34860.2
TRINITY_DN10460_c0_g1	AT3G44200.2
TRINITY_DN10462_c0_g1	AT2G39050.1
TRINITY_DN10464_c0_g1	AT2G21270.5
TRINITY_DN10466_c0_g1	AT2G32290.1
TRINITY_DN10468_c0_g2	AT1G49170.1
TRINITY_DN1047_c0_g1	AT1G07110.1
TRINITY_DN10470_c0_g1	AT3G49180.1
TRINITY_DN10471_c0_g1	AT3G53010.1
TRINITY_DN10471_c0_g2	AT3G53010.1
TRINITY_DN10472_c0_g1	AT3G27170.1
TRINITY_DN10476_c0_g1	AT1G76270.1
TRINITY_DN10478_c0_g1	AT5G32440.2
TRINITY_DN1048_c0_g2	AT4G12310.1
TRINITY_DN10482_c0_g1	AT1G09530.6
TRINITY_DN10485_c0_g1	AT1G17720.1
TRINITY_DN10487_c0_g1	AT5G01430.2
TRINITY_DN1049_c0_g1	AT5G26830.1
TRINITY_DN1049_c0_g2	AT3G08040.1
TRINITY_DN1049_c1_g2	AT5G05000.3
TRINITY_DN10490_c0_g1	AT1G64230.2
TRINITY_DN10495_c0_g2	AT2G40690.3
TRINITY_DN10497_c0_g1	AT3G50740.1
TRINITY_DN10498_c0_g5	AT4G14230.1
TRINITY_DN10499_c0_g1	AT1G24340.1
TRINITY_DN105_c1_g1	AT4G10570.1
TRINITY_DN105_c2_g1	AT5G43940.1
TRINITY_DN105_c3_g1	AT1G27070.1
TRINITY_DN1050_c0_g1	AT3G53970.1
TRINITY_DN10500_c0_g1	AT4G28300.2
TRINITY_DN10501_c0_g1	AT1G69830.1
TRINITY_DN10502_c0_g1	AT1G06740.1
TRINITY_DN10503_c0_g1	AT1G01690.3
TRINITY_DN1051_c0_g1	AT2G42040.1
TRINITY_DN10516_c0_g1	AT1G53530.1
TRINITY_DN10517_c0_g1	AT1G47980.1
TRINITY_DN10519_c0_g1	AT2G20000.2
TRINITY_DN1052_c0_g1	AT5G55070.2
TRINITY_DN10520_c0_g1	AT3G49990.1
TRINITY_DN10522_c0_g1	AT5G63110.1
TRINITY_DN10525_c0_g1	AT2G48030.1
TRINITY_DN10526_c0_g1	AT5G10625.1
TRINITY_DN1053_c0_g1	AT2G36900.1
TRINITY_DN10530_c0_g2	AT4G37608.2
TRINITY_DN10532_c0_g1	AT1G08570.1
TRINITY_DN10535_c0_g1	AT3G60520.1
TRINITY_DN10536_c0_g2	AT4G21120.1
TRINITY_DN10537_c0_g1	AT3G06780.1
TRINITY_DN10538_c0_g1	AT3G55460.1
TRINITY_DN10539_c0_g1	AT5G51560.1
TRINITY_DN1054_c0_g1	AT4G13780.1
TRINITY_DN1054_c1_g1	AT4G23850.1
TRINITY_DN10541_c0_g1	AT1G62020.1
TRINITY_DN10542_c0_g1	AT2G44850.3
TRINITY_DN10543_c0_g1	AT5G20650.1
TRINITY_DN10546_c0_g1	AT4G02750.1
TRINITY_DN1055_c0_g1	AT5G35790.1
TRINITY_DN10550_c0_g1	AT4G25420.1
TRINITY_DN10551_c0_g1	AT3G42170.2
TRINITY_DN10554_c0_g2	AT1G70090.2
TRINITY_DN10555_c0_g2	AT2G31650.1
TRINITY_DN10557_c0_g1	AT5G62700.1
TRINITY_DN10558_c2_g2	AT1G29220.1
TRINITY_DN10559_c0_g1	AT4G21705.1
TRINITY_DN1056_c0_g1	AT4G12770.2
TRINITY_DN10560_c0_g1	AT2G41970.2
TRINITY_DN10561_c0_g1	AT1G77380.1
TRINITY_DN10565_c0_g1	AT3G16857.1
TRINITY_DN10567_c0_g1	AT3G59200.2
TRINITY_DN1057_c0_g2	AT2G38120.1
TRINITY_DN10571_c0_g1	AT1G07750.1
TRINITY_DN10573_c0_g1	AT5G18590.2
TRINITY_DN10576_c0_g1	AT3G62660.1
TRINITY_DN1058_c0_g1	AT5G62650.1
TRINITY_DN10580_c0_g2	AT3G59390.2
TRINITY_DN10584_c0_g1	AT5G48545.1
TRINITY_DN10587_c0_g2	AT2G18400.1
TRINITY_DN10589_c0_g1	AT4G13010.1
TRINITY_DN1059_c0_g1	AT4G38600.3
TRINITY_DN10590_c0_g2	AT5G25530.1
TRINITY_DN10591_c0_g1	AT1G03270.1
TRINITY_DN10594_c1_g1	AT2G40330.1
TRINITY_DN10596_c0_g1	AT1G77670.1
TRINITY_DN106_c0_g1	AT1G65470.1
TRINITY_DN1060_c0_g1	AT5G16180.1
TRINITY_DN10600_c0_g1	AT1G26480.1
TRINITY_DN10602_c0_g1	AT2G38130.2
TRINITY_DN10604_c0_g1	AT3G23230.1
TRINITY_DN10605_c0_g1	AT5G47180.2
TRINITY_DN10606_c0_g1	AT4G32120.1
TRINITY_DN10609_c0_g1	AT4G36660.1
TRINITY_DN10612_c0_g1	AT5G57520.1
TRINITY_DN10614_c0_g1	AT2G47540.1
TRINITY_DN10617_c0_g1	AT1G25290.2
TRINITY_DN10618_c0_g1	AT5G57590.1
TRINITY_DN10619_c0_g2	AT2G17030.1
TRINITY_DN1062_c0_g1	AT5G28830.1
TRINITY_DN10620_c0_g1	AT2G28120.1
TRINITY_DN10621_c0_g2	AT1G06820.1
TRINITY_DN10623_c0_g1	AT1G74350.1
TRINITY_DN10624_c0_g1	AT3G21480.1
TRINITY_DN10629_c0_g1	AT3G05040.1
TRINITY_DN10632_c0_g2	AT2G20060.1
TRINITY_DN10633_c0_g2	AT2G29200.2
TRINITY_DN10638_c0_g2	AT3G19120.1
TRINITY_DN1064_c0_g2	AT3G48270.1
TRINITY_DN1064_c0_g3	AT3G48270.1
TRINITY_DN10643_c0_g1	AT5G16030.4
TRINITY_DN10646_c0_g1	AT3G43590.1
TRINITY_DN10647_c0_g1	AT3G20770.1
TRINITY_DN10648_c0_g1	AT5G10790.1
TRINITY_DN10649_c0_g2	AT1G60470.1
TRINITY_DN1065_c0_g1	AT1G69770.1
TRINITY_DN1065_c1_g1	AT4G13350.2
TRINITY_DN10651_c1_g2	AT1G24020.2
TRINITY_DN10653_c0_g1	AT5G08160.1
TRINITY_DN10654_c0_g1	AT2G48010.1
TRINITY_DN10656_c0_g2	AT5G48520.2
TRINITY_DN10659_c0_g1	AT1G06690.1
TRINITY_DN10660_c0_g1	AT3G07720.1
TRINITY_DN10660_c0_g3	AT4G14710.6
TRINITY_DN10663_c0_g2	AT3G61060.1
TRINITY_DN10664_c0_g1	AT3G29290.5
TRINITY_DN10666_c0_g1	AT2G30320.1
TRINITY_DN10667_c0_g1	AT1G63020.2
TRINITY_DN1067_c0_g1	AT4G31080.1
TRINITY_DN10671_c0_g1	AT1G14890.1
TRINITY_DN10672_c0_g1	AT3G56820.1
TRINITY_DN10676_c0_g1	AT1G06050.1
TRINITY_DN10679_c0_g2	AT1G67020.1
TRINITY_DN1068_c0_g1	AT4G20460.1
TRINITY_DN1068_c0_g2	AT1G67320.2
TRINITY_DN1068_c0_g3	AT5G58380.1
TRINITY_DN1068_c0_g4	AT4G10960.1
TRINITY_DN1068_c2_g1	AT1G64440.1
TRINITY_DN10680_c0_g1	AT3G10870.1
TRINITY_DN10682_c0_g1	AT3G17210.2
TRINITY_DN10683_c0_g1	AT1G20510.1
TRINITY_DN1069_c0_g1	AT1G14650.3
TRINITY_DN10690_c0_g2	AT1G70570.1
TRINITY_DN10692_c0_g2	AT5G18100.1
TRINITY_DN10692_c1_g1	AT3G47570.1
TRINITY_DN10695_c0_g1	AT2G43500.5
TRINITY_DN10696_c0_g1	AT5G02230.2
TRINITY_DN10698_c0_g1	AT4G20520.1
TRINITY_DN10698_c0_g2	AT5G15720.3
TRINITY_DN107_c0_g1	AT3G26932.2
TRINITY_DN1070_c0_g1	AT4G33300.2
TRINITY_DN10700_c0_g1	AT3G52070.2
TRINITY_DN10705_c0_g1	AT5G19380.1
TRINITY_DN10706_c0_g1	AT5G25480.1
TRINITY_DN10709_c1_g2	AT1G52740.1
TRINITY_DN1071_c0_g1	AT5G03700.1
TRINITY_DN1071_c0_g2	AT1G04340.1
TRINITY_DN10710_c0_g1	AT3G22470.2
TRINITY_DN10710_c0_g3	AT1G63130.2
TRINITY_DN10710_c1_g2	AT1G62680.2
TRINITY_DN10710_c1_g3	AT3G22470.1
TRINITY_DN10713_c0_g1	AT1G28530.2
TRINITY_DN10716_c0_g1	AT1G01930.1
TRINITY_DN10719_c0_g2	AT1G66680.1
TRINITY_DN1072_c0_g1	AT1G28200.2
TRINITY_DN1072_c0_g2	AT4G35520.3
TRINITY_DN1072_c1_g1	AT3G62720.2
TRINITY_DN10720_c0_g1	AT1G27070.1
TRINITY_DN10721_c0_g1	AT5G02530.2
TRINITY_DN10726_c0_g1	AT1G29920.1
TRINITY_DN1073_c0_g1	AT1G01910.4
TRINITY_DN10733_c0_g1	AT5G46860.1
TRINITY_DN10735_c0_g1	AT4G23710.1
TRINITY_DN10736_c0_g1	AT3G50120.1
TRINITY_DN10737_c0_g1	AT2G36830.1
TRINITY_DN10739_c0_g1	AT2G15240.1
TRINITY_DN10742_c0_g2	AT1G30360.1
TRINITY_DN10744_c0_g1	AT5G50000.1
TRINITY_DN10748_c0_g1	AT1G67750.1
TRINITY_DN10749_c0_g1	AT5G35700.1
TRINITY_DN1075_c0_g1	AT5G65450.1
TRINITY_DN10750_c0_g1	AT2G23910.4
TRINITY_DN10751_c0_g1	AT3G62000.1
TRINITY_DN10753_c0_g1	AT1G04130.1
TRINITY_DN10755_c0_g1	AT3G49410.3
TRINITY_DN10756_c0_g1	AT3G05410.1
TRINITY_DN10757_c0_g2	AT5G15380.1
TRINITY_DN10757_c0_g3	AT5G15380.1
TRINITY_DN10758_c0_g1	AT1G19690.1
TRINITY_DN10759_c0_g1	AT5G44640.1
TRINITY_DN10759_c0_g3	AT4G27830.1
TRINITY_DN10759_c1_g1	AT2G44480.5
TRINITY_DN10759_c2_g1	AT2G44480.4
TRINITY_DN10761_c0_g2	AT2G24290.1
TRINITY_DN10761_c0_g3	AT2G24290.1
TRINITY_DN10764_c0_g1	AT3G42170.2
TRINITY_DN10765_c0_g1	AT3G47570.1
TRINITY_DN10767_c0_g1	AT3G52320.1
TRINITY_DN10768_c0_g1	AT3G05850.1
TRINITY_DN10769_c0_g1	AT4G10265.1
TRINITY_DN1077_c0_g1	AT3G14205.1
TRINITY_DN1077_c1_g1	AT4G29210.1
TRINITY_DN10771_c0_g1	AT4G14790.2
TRINITY_DN10774_c0_g2	AT3G47110.1
TRINITY_DN10774_c1_g1	AT3G47570.1
TRINITY_DN10774_c1_g2	AT3G47570.1
TRINITY_DN10774_c2_g1	AT3G47110.1
TRINITY_DN10779_c0_g1	AT3G10270.2
TRINITY_DN1078_c0_g1	AT3G61370.3
TRINITY_DN10781_c0_g1	AT4G02750.1
TRINITY_DN10782_c0_g1	AT2G42690.1
TRINITY_DN10785_c0_g1	AT1G18440.2
TRINITY_DN10785_c0_g2	AT4G12130.1
TRINITY_DN10788_c0_g2	AT4G21580.3
TRINITY_DN10789_c0_g1	AT5G60335.3
TRINITY_DN10789_c2_g1	AT5G60335.3
TRINITY_DN1079_c0_g1	AT2G37650.2
TRINITY_DN10790_c0_g1	AT3G25690.5
TRINITY_DN10791_c0_g1	AT5G10490.1
TRINITY_DN10793_c0_g1	AT1G12700.1
TRINITY_DN10793_c0_g2	AT1G09900.1
TRINITY_DN10795_c0_g1	AT4G30480.2
TRINITY_DN10796_c0_g1	AT2G26310.4
TRINITY_DN108_c0_g1	AT1G68660.1
TRINITY_DN1080_c0_g1	AT1G26300.1
TRINITY_DN10800_c0_g1	AT3G03990.1
TRINITY_DN10802_c1_g1	AT4G28450.1
TRINITY_DN10803_c0_g1	AT1G68620.1
TRINITY_DN10804_c0_g1	AT5G66560.4
TRINITY_DN10805_c0_g1	AT3G17980.1
TRINITY_DN10806_c0_g1	AT4G10950.2
TRINITY_DN10808_c0_g1	AT5G46160.2
TRINITY_DN10809_c0_g1	AT1G31810.2
TRINITY_DN1081_c0_g1	AT5G05980.2
TRINITY_DN10814_c0_g3	AT4G29090.1
TRINITY_DN10815_c0_g1	AT4G15560.1
TRINITY_DN10818_c0_g1	AT4G36650.1
TRINITY_DN1082_c0_g1	AT1G45150.1
